Variable,Position,Label,Measurement Level
EatOut2,63,Eaten takeaway food from a restaurant or takeaway outlet,Nominal
EatOut3,64,Eaten in a fast food restaurant,Nominal
EatOut4,65,Got food to take away from a fast food restaurant,Nominal
EatOut5,66,Eaten in a pub/ bar/ nightclub,Nominal
EatOut6,67,Eaten in a café or coffee shop,Nominal
EatOut7,68,"Bought food or drink from a café, coffee shop or sandwich bar to take away",Nominal
EatOut8,69,"Eaten food from a canteen (e.g. at work, school, university, or hospital)",Nominal
EatOut9,70,"Eaten in a hotel, B&B or guesthouse",Nominal
EatOut10,71,Eaten food from a mobile food van or stall,Nominal
EatOut11,72,None of these,Nominal
eatoutev,73,(D) Eats out at all,Nominal
eatoutbdv,74,(D) Ever eats breakfast out,Nominal
eatoutldv,75,(D) Ever eats lunch out,Nominal
eatoutddv,76,(D) Ever eats dinner out,Nominal
EatOutInfDV_Ex,77,Own experience of the place,Nominal
EatOutInfDV_Ap,78,Appearance of the place,Nominal
EatOutInfDV_Wr,79,Word of mouth,Nominal
EatOutInfDV_FF,80,Recommendations from friends/family,Nominal
EatOutInfDV_Wb,81,"Customer reviews on websites or mobile apps e.g. TripAdvisor, Yelp, Google reviews etc.",Nominal
EatOutInfDV_Nw,82,Print or online editions of newspaper/magazine features or reviews,Nominal
EatOutInfDV_WG,83,"Online restaurant guides e.g. Time Out, Square Meal",Nominal
EatOutInfDV_TV,84,Television programmes,Nominal
EatOutInfDV_Bk,85,Books e.g. restaurant guides,Nominal
EatOutInfDV_Lf,86,Leaflets/flyers,Nominal
EatOutInfDV_Ad,87,"Media advertising e.g. television, radio, magazines, newspapers",Nominal
EatOutInfDV_SM,88,Social media,Nominal
EatOutInfDV_Oth,89,Other,Nominal
EatOutInfDV_None,90,None of these,Nominal
Q2_35DV_Pr,91,Price,Nominal
Q2_35DV_Rv,92,Recommendations or invitation from someone you know/good reviews,Nominal
Q2_35DV_Sv,93,Good service,Nominal
Q2_35DV_Hy,94,A good hygiene rating/score,Nominal
Q2_35DV_Ca,95,Calorie information of the food is provided,Nominal
Q2_35DV_Al,96,Allergy information of the food is provided,Nominal
Q2_35DV_Hl,97,Healthier foods/choices,Nominal
Q2_35DV_Dt,98,"Food for different diets such as Vegetarian, Halal, Kosher etc.",Nominal
Q2_35DV_None,99,None of these,Nominal
Q2_35DV_Oth,100,Something else,Nominal
Q2_37,101,"When you eat out, at places such as at restaurants, cafes, pubs and takeaways, or buy food to take home to eat from supermarkets or shops, how aware would you say you generally are about their standards of hygiene?",Nominal
q2_37dv,102,"(D) Q2_37 When you eat out, how aware would you say you generally are about standards of hygiene",Nominal
Q2_38DV1,103,Word of mouth,Nominal
Q2_38DV2,104,Reputation,Nominal
Q2_38DV3,105,Appearance of staff,Nominal
Q2_38DV4,106,General appearance of premises,Nominal
Q2_38DV5,107,Hygiene rating / score,Nominal
Q2_38DV6,108,Customer reviews on websites / mobile apps,Nominal
Q2_38DV7,109,Other,Nominal
q12_1ab,110,(D) Have you ever seen any of these before?,Nominal
Q3_1,111,"Thinking about food/grocery shopping, which of these best describes the level of responsibility you have for shopping in your household?",Nominal
resfdshp,112,(D) Respondent responsibility for food/grocery shopping,Nominal
Q3_31,113,Where household shops for food: Large supermarket,Nominal
Q3_32,114,Where household shops for food: Mini supermarket e.g. Metro/Local,Nominal
Q3_33,115,Where household shops for food: Local/corner shop (including newsagents),Nominal
Q3_34,116,Where household shops for food: Garage forecourt,Nominal
Q3_35,117,Where household shops for food: Independent greengrocer,Nominal
Q3_36,118,Where household shops for food: Independent butcher,Nominal
Q3_37,119,Where household shops for food: Independent baker,Nominal
Q3_38,120,Where household shops for food: Independent fishmonger,Nominal
Q3_39,121,Where household shops for food: Market (including stalls or farmer's markets),Nominal
Q3_310,122,Where household shops for food: Farm,Nominal
Q3_311,123,Where household shops for food: Home delivery - from a supermarket,Nominal
Q3_312,124,Where household shops for food: Home delivery (including vegetable boxes) - not from a supermarket,Nominal
Q3_313,125,Where household shops for food: Other shop,Nominal
provfd1,126,"(D) When buying food, I check to see where it was produced",Nominal
provfd2,127,"(D) Where possible, I prefer to buy food produced in Britain/the UK and Ireland",Nominal
provfd3,128,"(D) I have greater trust in the quality of food produced in Britain/the UK and Ireland, compared to food imported from overseas",Nominal
provfd4,129,(D) Food produced in Britain/the UK and Ireland tastes better than food imported from overseas,Nominal
provfd5,130,(D) It is important to support British farmers and food producers/farmers and food producers in the UK and Ireland,Nominal
provfd6,131,(D) Food produced in Britain/the UK and Ireland tends to be more expensive than food imported from overseas,Nominal
provfd7,132,(D) I would be prepared to pay more for food and drink that is produced in Britain/the UK and Ireland,Nominal
Worried,133,In the last 12 months have been worried whether food would run out before have enough money to buy more,Nominal
FdLast,134,"In the last 12 months the food bought just did not last, and didn't have money to get more",Nominal
HealthyFd,135,In the last 12 months couldn't afford to eat balanced meals,Nominal
Q3_131,136,Changes made in the last 6 months for financial reasons: Eaten at home more,Nominal
Q3_132,137,Changes made in the last 6 months for financial reasons: Cooked at home more,Nominal
Q3_133,138,Changes made in the last 6 months for financial reasons: Eaten fewer takeaways,Nominal
Q3_134,139,Changes made in the last 6 months for financial reasons: Eaten out less,Nominal
Q3_135,140,Changes made in the last 6 months for financial reasons: Made packed lunches more,Nominal
Q3_136,141,Changes made in the last 6 months for financial reasons: Bought items that were on special offer more,Nominal
Q3_137,142,Changes made in the last 6 months for financial reasons: Changed the places you buy food for cheaper alternatives,Nominal
Q3_138,143,Changes made in the last 6 months for financial reasons: Changed the food you buy to cheaper alternatives,Nominal
Q3_139,144,Changes made in the last 6 months for financial reasons: Prepared food that could be kept as leftovers more,Nominal
Q3_1310,145,Changes made in the last 6 months for financial reasons: Kept leftovers for longer before eating,Nominal
Q3_1311,146,Changes made in the last 6 months for financial reasons: Eaten food past its use-by-date more,Nominal
Q3_1312,147,Changes made in the last 6 months for financial reasons: None of these,Nominal
fdsecst,148,(D) Food security status,Nominal
q4_1_4,149,(D) Use different chopping boards for different foods,Nominal
q4_1_5a,150,(D) Store open tins in the fridge,Nominal
Q4_1_5_comb,151,(D) Wash raw meat and poultry (W3-5: other than chicken),Nominal
q4_1_6,152,(D) Wash raw chicken,Nominal
q4_1_7,153,(D) Wash raw fish or seafood,Nominal
q4_1_8a,154,(D) Wash fruit and vegetables to be eaten raw,Nominal
q4_1_8b,155,(D) Wash fruit and vegetables to be eaten cooked,Nominal
sanspray,156,(D) Use any antibacterial surface sanitising spray or wipes to clean kitchen work surfaces,Nominal
SprayWipe,157,"And when you use surface sanitising spray, which of the things listed on this card do you usually do?",Nominal
q4_1_11,158,(D) Wash hands before starting to prepare or cook food,Nominal
q4_1_12,159,"(D) Wash hands after handling raw meat, poultry or fish",Nominal
q4_1_13,160,(D) Cook food until it's steaming hot throughout,Nominal
q4_1_14,161,(D) Eat chicken or turkey if the meat is pink or has pink or red juices,Nominal
q4_1_15,162,(D) Eat red meat if the meat is pink or has pink or red juices,Nominal
q4_1_16,163,(D) Eat duck if the meat is pink or has pink or red juices,Nominal
q4_1_17,164,(D) Eat burgers if the meat is pink or has pink or red juices,Nominal
q4_1_18,165,(D) Eat sausages if the meat is pink or has pink or red juices,Nominal
q4_1_19,166,(D) Eat whole cuts of pork or pork chops if the meat is pink or has pink or red juices,Nominal
Q4_1b1,167,Methods used to defrost frozen meat or fish: Placing the meat or fish in water,Nominal
Q4_1b2,168,Methods used to defrost frozen meat or fish: Leaving the meat or fish at room temperature,Nominal
Q4_1b3,169,Methods used to defrost frozen meat or fish: Leaving the meat or fish in the fridge,Nominal
Q4_1b4,170,Methods used to defrost frozen meat or fish: Defrosting the meat or fish in the microwave oven,Nominal
Q4_1b6,171,Methods used to defrost frozen meat or fish: Do not defrost meat or fish,Nominal
q4_1b7,172,Methods used to defrost frozen meat or fish: Don't know,Nominal
Q4_1b5,173,Methods used to defrost frozen meat or fish: Other,Nominal
dq4_1bc,174,(D) Q4_1B/ Q4_1C Which method do you generally use to defrost frozen meat or fish?,Nominal
Q4_31,175,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: To stop remains of it getting onto the next food",Nominal
Q4_32,176,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: It can be dangerous if you don’t",Nominal
Q4_33,177,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: To stop the flavour/ taste transferring to other foods",Nominal
Q4_34,178,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: To get rid of the mess",Nominal
Q4_35,179,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: As it looks dirty",Nominal
Q4_36,180,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: To wash away germs/bacteria",Nominal
Q4_37,181,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: To prevent cross contamination",Nominal
Q4_38,182,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: To prevent food poisoning",Nominal
Q4_39,183,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: It's a habit",Nominal
Q4_310,184,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: It’s just what people do / are told to do",Nominal
Q4_311,185,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: Don't know why",Nominal
Q4_312,186,"Reasons for washing chopping board after using it to prepare raw meat, poultry or fish: Other",Nominal
Q4_8a,187,"Do you have the use of a kitchen, that is, a separate room in which you cook?",Nominal
Q4_8c1a,188,Appliances in household: Fridge with built in freezer compartment,Nominal
Q4_8c1,189,"Appliances in household: Combined fridge and freezer, these have separate doors but are part of the same unit",Nominal
Q4_8c2,190,Appliances in household: Separate fridge,Nominal
Q4_8c3,191,Appliances in household: Separate freezer,Nominal
Q4_8c4,192,Appliances in household: Dishwasher,Nominal
Q4_8c5,193,Appliances in household: Oven,Nominal
Q4_8c6,194,"Appliances in household: Grill, including as part of a combined oven",Nominal
Q4_8c7,195,"Appliances in household: Hob, including as part of a combined oven",Nominal
Q4_8c8,196,"Appliances in household: Microwave oven, including as part of a conventional oven",Nominal
Q4_8c9,197,Appliances in household: Kettle,Nominal
Q4_8c9a,198,Appliances in household: Toaster,Nominal
Q4_8c10,199,Appliances in household: None of these,Nominal
Q4_9,200,Do you ever check your fridge temperature?,Nominal
Q4_10,201,How often do you or another person in your household check the temperature of the fridge?,Nominal
Q4_111,202,Check the setting / gauge of fridge,Nominal
Q4_112,203,Check the temperature display/ thermometer built into the fridge,Nominal
Q4_113,204,Put a thermometer in the fridge and check,Nominal
Q4_114,205,Look inside/check for ice/condensation,Nominal
Q4_115,206,Feel food inside to see if it is cold,Nominal
Q4_116,207,Don't know,Nominal
Q4_117,208,Other,Nominal
Q4_12,209,What do you think the temperature inside your fridge should be?,Nominal
Q4_141,210,Where in the fridge do you store raw meat and poultry: Anywhere,Nominal
Q4_142,211,Where in the fridge do you store raw meat and poultry: On the bottom shelf of the fridge,Nominal
Q4_143,212,Where in the fridge do you store raw meat and poultry: At the top of the fridge,Nominal
Q4_144,213,Where in the fridge do you store raw meat and poultry: Away from cooked foods,Nominal
Q4_145,214,Where in the fridge do you store raw meat and poultry: In a separate compartment e.g. a meat drawer or salad tray,Nominal
Q4_146,215,Where in the fridge do you store raw meat and poultry: In the middle of the fridge,Nominal
Q4_147,216,Where in the fridge do you store raw meat and poultry: Wherever there is space,Nominal
Q4_148,217,Where in the fridge do you store raw meat and poultry: Other,Nominal
Q4_1410,218,Where in the fridge do you store raw meat and poultry: Don't store raw meat\poultry in the fridge,Nominal
Q4_149,219,Where in the fridge do you store raw meat and poultry: Don't buy or store meat or poultry at all,Nominal
q4_1411,220,Where in the fridge do you store raw meat and poultry: Don't know,Nominal
Q4_151,221,How do you store raw meat and poultry in the fridge: Away from cooked foods,Nominal
Q4_152,222,How do you store raw meat and poultry in the fridge: Covered with film \ foil,Nominal
Q4_153,223,How do you store raw meat and poultry in the fridge: In a covered container,Nominal
Q4_154,224,How do you store raw meat and poultry in the fridge: In its packaging,Nominal
Q4_155,225,How do you store raw meat and poultry in the fridge: On a plate,Nominal
Q4_156,226,How do you store raw meat and poultry in the fridge: Other,Nominal
q4_157,227,How do you store raw meat and poultry in the fridge: Don't know,Nominal
safemeat1,228,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: How it looks",Nominal
safemeat2,229,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: The colour of it",Nominal
safemeat3,230,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: How it smells",Nominal
safemeat4,231,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: How it tastes",Nominal
safemeat5,232,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: What it feels like/ the texture",Nominal
safemeat6,233,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking Whether it has been stored correctly",Nominal
safemeat8,234,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: Best before date",Nominal
safemeat9,235,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: Use by date",Nominal
safemeat10,236,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: Sell by or display until date",Nominal
safemeat11,237,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: Date unspecified",Nominal
safemeat12,238,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: Other",Nominal
safemeat13,239,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: Not applicable",Nominal
safemeat14,240,"How can you tell whether raw meat like beef, lamb, pork or poultry is safe to eat or use in cooking: Don't know",Nominal
safedairy1,241,How can you tell whether milk and yoghurt is safe to eat or use in cooking: How it looks,Nominal
safedairy2,242,How can you tell whether milk and yoghurt is safe to eat or use in cooking: The colour of it,Nominal
safedairy3,243,How can you tell whether milk and yoghurt is safe to eat or use in cooking: How it smells,Nominal
safedairy4,244,How can you tell whether milk and yoghurt is safe to eat or use in cooking: How it tastes,Nominal
safedairy5,245,How can you tell whether milk and yoghurt is safe to eat or use in cooking: What it feels like/ the texture,Nominal
safedairy6,246,How can you tell whether milk and yoghurt is safe to eat or use in cooking: Whether it has been stored correctly,Nominal
safedairy8,247,How can you tell whether milk and yoghurt is safe to eat or use in cooking: Best before date,Nominal
safedairy9,248,How can you tell whether milk and yoghurt is safe to eat or use in cooking: Use by date,Nominal
safedairy10,249,How can you tell whether milk and yoghurt is safe to eat or use in cooking: Sell by or display until date,Nominal
safedairy11,250,How can you tell whether milk and yoghurt is safe to eat or use in cooking: Date unspecified,Nominal
safedairy12,251,How can you tell whether milk and yoghurt is safe to eat or use in cooking: Other,Nominal
safedairy13,252,How can you tell whether milk and yoghurt is safe to eat or use in cooking: Not applicable,Nominal
safedairy14,253,How can you tell whether milk and yoghurt is safe to eat or use in cooking: Don't know,Nominal
safecheese1,254,How can you tell whether cheese is safe to eat or use in cooking: How it looks,Nominal
safecheese2,255,How can you tell whether cheese is safe to eat or use in cooking: The colour of it,Nominal
safecheese3,256,How can you tell whether cheese is safe to eat or use in cooking: How it smells,Nominal
safecheese4,257,How can you tell whether cheese is safe to eat or use in cooking: How it tastes,Nominal
safecheese5,258,How can you tell whether cheese is safe to eat or use in cooking: What it feels like/ the texture,Nominal
safecheese6,259,How can you tell whether cheese is safe to eat or use in cooking: Whether it has been stored correctly,Nominal
safecheese8,260,How can you tell whether cheese is safe to eat or use in cooking: Best before date,Nominal
safecheese9,261,How can you tell whether cheese is safe to eat or use in cooking: Use by date,Nominal
safecheese10,262,How can you tell whether cheese is safe to eat or use in cooking: Sell by or display until date,Nominal
safecheese11,263,How can you tell whether cheese is safe to eat or use in cooking: Date unspecified,Nominal
safecheese12,264,How can you tell whether cheese is safe to eat or use in cooking: Other,Nominal
safecheese13,265,How can you tell whether cheese is safe to eat or use in cooking: Not applicable,Nominal
safecheese14,266,How can you tell whether cheese is safe to eat or use in cooking: Don't know,Nominal
safeegg1,267,How can you tell whether egg is safe to eat or use in cooking: How it looks,Nominal
safeegg2,268,How can you tell whether egg is safe to eat or use in cooking: The colour of it,Nominal
safeegg3,269,How can you tell whether egg is safe to eat or use in cooking: How it smells,Nominal
safeegg4,270,How can you tell whether egg is safe to eat or use in cooking: How it tastes,Nominal
safeegg5,271,How can you tell whether egg is safe to eat or use in cooking: What it feels like/ the texture,Nominal
safeegg6,272,How can you tell whether egg is safe to eat or use in cooking: Whether it has been stored correctly,Nominal
safeegg7,273,How can you tell whether egg is safe to eat or use in cooking: It doesn't float in water,Nominal
safeegg8,274,How can you tell whether egg is safe to eat or use in cooking: Best before date,Nominal
safeegg9,275,How can you tell whether egg is safe to eat or use in cooking: Use by date,Nominal
safeegg10,276,How can you tell whether egg is safe to eat or use in cooking: Sell by or display until date,Nominal
safeegg11,277,How can you tell whether egg is safe to eat or use in cooking: Date unspecified,Nominal
safeegg12,278,How can you tell whether egg is safe to eat or use in cooking: Other,Nominal
safeegg13,279,How can you tell whether egg is safe to eat or use in cooking: Not applicable,Nominal
safeegg14,280,How can you tell whether egg is safe to eat or use in cooking: Don't know,Nominal
safefish1,281,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: How it looks,Nominal
safefish2,282,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: The colour of it,Nominal
safefish3,283,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: How it smells,Nominal
safefish4,284,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: How it tastes,Nominal
safefish5,285,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: What it feels like/ the texture,Nominal
safefish6,286,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: Whether it has been stored correctly,Nominal
safefish8,287,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: Best before date,Nominal
safefish9,288,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: Use by date,Nominal
safefish10,289,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: Sell by or display until date,Nominal
safefish11,290,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: Date unspecified,Nominal
safefish12,291,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: Other,Nominal
safefish13,292,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: Not applicable,Nominal
safefish14,293,How can you tell whether fish excluding shellfish is safe to eat or use in cooking: Don't know,Nominal
Q4_19b,294,Which of these is the best indicator of whether food is safe to eat?,Nominal
Q6_4,295,"How easy do you find it to read the labelling on food products (e.g. ingredients, nutrition or storage information) in terms of the size of the print (using glasses or contact lenses if you wear them)?",Nominal
Q4_22,296,Do you check use-by dates when you are about to cook or prepare food?,Nominal
q22rp,297,(D) Do you check use by dates when you are about to cook or prepare food?,Nominal
Q4_226,298,Which of these indicates whether food is safe to eat: Use by date,Nominal
Q4_227,299,Which of these indicates whether food is safe to eat: Best before date,Nominal
Q4_228,300,Which of these indicates whether food is safe to eat: Sell by date,Nominal
Q4_229,301,Which of these indicates whether food is safe to eat: Display until date,Nominal
Q4_230,302,Which of these indicates whether food is safe to eat: None of these,Nominal
Q4_231,303,Which of these indicates whether food is safe to eat: It depends,Nominal
Q4_232,304,Which of these indicates whether food is safe to eat: Don't know,Nominal
Q4_24,305,"If you made a meal on Sunday, what is the last day that you would consider eating the leftovers? (Spontaneous)",Nominal
Q4_25,306,How many times would you consider re-heating food after it was cooked for the first time?,Nominal
Q4_261,307,How do you usually tell food has been re-heated properly: Steam coming from it,Nominal
Q4_262,308,How do you usually tell food has been re-heated properly: Taste it,Nominal
Q4_263,309,How do you usually tell food has been re-heated properly: Stir it,Nominal
Q4_264,310,How do you usually tell food has been re-heated properly: Check the middle is hot,Nominal
Q4_265,311,How do you usually tell food has been re-heated properly: Check it's an even temperature throughout,Nominal
Q4_266,312,How do you usually tell food has been re-heated properly: Put hand over it/touch it,Nominal
Q4_267,313,How do you usually tell food has been re-heated properly: Use a thermometer/probe,Nominal
Q4_268,314,How do you usually tell food has been re-heated properly: Use a timer to ensure it has been cooked for a certain amount of time,Nominal
Q4_269,315,How do you usually tell food has been re-heated properly: It looks hot,Nominal
Q4_2611,316,How do you usually tell food has been re-heated properly: Other,Nominal
Q4_2610,317,How do you usually tell food has been re-heated properly: I don't check,Nominal
q4_2612,318,How do you usually tell food has been re-heated properly: Don't know,Nominal
q4_27_1_slice,319,(D) I always avoid throwing food away,Nominal
q4_27_2_slice,320,(D) I am unlikely to get food poisoning from food prepared in my own home,Nominal
q4_27_4_slice,321,(D) If you eat out a lot you are more likely to get food poisoning,Nominal
q4_27_5_slice,322,(D) Restaurants and catering establishments should pay more attention to food safety and hygiene,Nominal
q4_27_6_slice,323,(D) I often worry about whether the food I have is safe to eat,Nominal
q4_276dv,324,(D) I like trying new things to eat,Nominal
q4_277dv,325,(D) I enjoy cooking and preparing food,Nominal
q4_278dv,326,(D) I'm not generally interested in food,Nominal
q4_279dv,327,(D) I don’t have time to spend preparing and cooking food,Nominal
q4_2710dv,328,(D) When preparing food I could be more careful about hygiene,Nominal
q4_2711dv,329,(D) There is too much plastic used in food packaging,Nominal
q4_276_dv,330,(D) I like trying new things to eat - net agree/disagree,Nominal
q4_277_dv,331,(D) I enjoy cooking and preparing food - net agree/disagree,Nominal
q4_278_dv,332,(D) I'm not generally interested in food - net agree/disagree,Nominal
q4_279_dv,333,(D) I don't have time to spend preparing and cooking food - net agree/disagree,Nominal
q4_2710_dv,334,(D) When preparing food I could be more careful about hygiene - net agree/disagree,Nominal
q4_2711_dv,335,(D) There is too much plastic used in food packaging - net agree/disagree,Nominal
q4_27_1_sum,336,(D) I always avoid throwing food away - net agree/disagree,Nominal
q4_27_2_sum,337,(D) I am unlikely to get food poisoning from food prepared in my own home - net agree/disagree,Nominal
q4_27_4_sum,338,(D) If you eat out a lot you are more likely to get food poisoning - net agree/disagree,Nominal
q4_27_5_sum,339,(D) Restaurants and catering establishments should pay more attention to food safety and hygiene - net agree/disagree,Nominal
q4_27_6_sum,340,(D) I often worry about whether the food I have is safe to eat - net agree/disagree,Nominal
bpoison,341,(D) Whether had food poisoning,Nominal
Q4_26b,342,Have you had food poisoning in the last year?,Nominal
Q4_28a,343,Did you see a doctor or go to hospital because of it?,Nominal
Q4_27b,344,Whether food poisoning was medically diagnosed,Nominal
Q4_27c,345,Type of food poisoning,Nominal
Q4_28b1,346,"Since you most recently had food poisoning, have you: Tried to get more information about the issue",Nominal
Q4_28b2,347,"Since you most recently had food poisoning, have you: Read food labels more carefully",Nominal
Q4_28b3,348,"Since you most recently had food poisoning, have you: Changed the way you cook food",Nominal
Q4_28b4,349,"Since you most recently had food poisoning, have you: Changed the way you prepare food",Nominal
Q4_28b5,350,"Since you most recently had food poisoning, have you: Stopped eating certain foods",Nominal
Q4_28b6,351,"Since you most recently had food poisoning, have you: Stopped eating at certain food establishments (e.g. restaurants/cafes)",Nominal
Q4_28b7,352,"Since you most recently had food poisoning, have you: Other",Nominal
Q4_28b8,353,"Since you most recently had food poisoning, have you: Took no action",Nominal
Q11_8bDV1,354,Whether get information about how to prepare and cook food safely at home from: Family and friends,Nominal
Q11_8bDV2,355,Whether get information about how to prepare and cook food safely at home from: School / college / a course,Nominal
Q11_8bDV3,356,Whether get information about how to prepare and cook food safely at home from: Work,Nominal
Q11_8bDV4,357,Whether get information about how to prepare and cook food safely at home from: Retailers (e.g. supermarkets),Nominal
Q11_8bDV5,358,Whether get information about how to prepare and cook food safely at home from: Newspapers,Nominal
Q11_8bDV6,359,Whether get information about how to prepare and cook food safely at home from: News websites,Nominal
Q11_8bDV7,360,Whether get information about how to prepare and cook food safely at home from: Food TV shows / cooking programmes,Nominal
Q11_8bDV8,361,Whether get information about how to prepare and cook food safely at home from: Food magazines,Nominal
